id,device,accX,accY,accZ,millis,created,gyX,gyY,gyZ,magX,magY,magZ,yaw,pitch,roll,temp
1361635,pilot02,-78.186,-59.9976,928.2837,182603636,2020-04-28 03:46:12.670,0,0,0,0,0,0,0,0,0,0
1361636,pilot02,-76.1108,-80.9937,921.3257,182622541,2020-04-28 03:46:30.813,0,0,0,0,0,0,0,0,0,0
1361637,pilot02,-69.0308,-79.1626,906.4941,182640649,2020-04-28 03:46:47.713,0,0,0,0,0,0,0,0,0,0
1361638,pilot02,-69.519,-80.3833,926.7578,182657565,2020-04-28 03:47:07.087,0,0,0,0,0,0,0,0,0,0
1361639,pilot02,-72.4487,-65.6738,933.4717,182676948,2020-04-28 03:47:26.933,0,0,0,0,0,0,0,0,0,0
1361640,pilot02,-73.3032,-69.8242,927.3682,182696795,2020-04-28 03:47:44.277,0,0,0,0,0,0,0,0,0,0
1361641,pilot02,-76.1719,-70.0073,929.0161,182714140,2020-04-28 03:48:03.270,0,0,0,0,0,0,0,0,0,0
1361642,pilot02,-75.1343,-71.3501,929.1382,182733119,2020-04-28 03:48:22.857,0,0,0,0,0,0,0,0,0,0
1361643,pilot02,-74.2798,-72.7539,923.7061,182752706,2020-04-28 03:48:39.877,0,0,0,0,0,0,0,0,0,0
1361644,pilot02,-74.3408,-70.0073,928.5278,182769722,2020-04-28 03:48:56.627,0,0,0,0,0,0,0,0,0,0
1361645,pilot02,-72.998,-70.0073,926.1475,182786478,2020-04-28 03:49:13.933,0,0,0,0,0,0,0,0,0,0
1361646,pilot02,-75.1953,-71.7163,925.415,182803789,2020-04-28 03:49:31.203,0,0,0,0,0,0,0,0,0,0
1361647,pilot02,-76.1719,-72.6929,927.9785,182821045,2020-04-28 03:49:48.203,0,0,0,0,0,0,0,0,0,0
1361648,pilot02,-72.1436,-69.9463,929.2603,182838047,2020-04-28 03:50:05.860,0,0,0,0,0,0,0,0,0,0
1361649,pilot02,-75.1343,-69.2749,929.9927,182855701,2020-04-28 03:50:23.057,0,0,0,0,0,0,0,0,0,0
1361650,pilot02,-78.7354,-73.4253,924.8047,182872896,2020-04-28 03:50:39.750,0,0,0,0,0,0,0,0,0,0
1361651,pilot02,-72.1436,-71.4111,930.481,182889588,2020-04-28 03:50:56.973,0,0,0,0,0,0,0,0,0,0
1361652,pilot02,-74.0967,-71.9604,929.8096,182906778,2020-04-28 03:51:13.847,0,0,0,0,0,0,0,0,0,0
1361653,pilot02,-73.9746,-72.8149,927.124,182923685,2020-04-28 03:51:31.283,0,0,0,0,0,0,0,0,0,0
1361654,pilot02,-73.6084,-72.7539,926.2695,182941125,2020-04-28 03:51:49.813,0,0,0,0,0,0,0,0,0,0
1361655,pilot02,-71.8994,-72.7539,931.2744,182959654,2020-04-28 03:52:08.677,0,0,0,0,0,0,0,0,0,0
1361656,pilot02,-73.1812,-69.9463,929.1992,182978512,2020-04-28 03:52:27.833,0,0,0,0,0,0,0,0,0,0
1361657,pilot02,-75.9277,-71.4111,929.0161,182997675,2020-04-28 03:52:44.783,0,0,0,0,0,0,0,0,0,0
1361658,pilot02,-73.1201,-72.4487,924.8657,183014621,2020-04-28 03:53:01.853,0,0,0,0,0,0,0,0,0,0
1361659,pilot02,-76.355,-73.6084,926.5137,183031682,2020-04-28 03:53:18.767,0,0,0,0,0,0,0,0,0,0
1361660,pilot02,-76.2939,-73.7305,923.9502,183048613,2020-04-28 03:53:35.800,0,0,0,0,0,0,0,0,0,0
1361661,pilot02,-73.3643,-67.627,934.8755,183065634,2020-04-28 03:53:55.127,0,0,0,0,0,0,0,0,0,0
1361662,pilot02,-69.5801,-64.3311,958.1909,183084957,2020-04-28 03:54:12.267,0,0,0,0,0,0,0,0,0,0
1361663,pilot02,-75.8667,-58.7769,940.3076,183102098,2020-04-28 03:54:29.750,0,0,0,0,0,0,0,0,0,0
1361664,pilot02,-73.2422,-61.7676,928.1616,183119583,2020-04-28 03:54:46.800,0,0,0,0,0,0,0,0,0,0
1361665,pilot02,-75.0122,-81.8481,912.5977,183136649,2020-04-28 03:55:03.983,0,0,0,0,0,0,0,0,0,0
1361666,pilot02,-75.1343,-71.7773,919.1284,183153815,2020-04-28 03:55:22.507,0,0,0,0,0,0,0,0,0,0
1361667,pilot02,-75.0732,-74.585,926.2085,183172344,2020-04-28 03:55:40.350,0,0,0,0,0,0,0,0,0,0
1361668,pilot02,-74.7681,-72.5098,929.8706,183190183,2020-04-28 03:55:59.783,0,0,0,0,0,0,0,0,0,0
1361669,pilot02,-73.1812,-72.0825,929.2603,183209601,2020-04-28 03:56:18.893,0,0,0,0,0,0,0,0,0,0
1361670,pilot02,-71.3501,-68.9697,930.7861,183228724,2020-04-28 03:56:36.357,0,0,0,0,0,0,0,0,0,0
1361671,pilot02,-72.4487,-71.7163,931.8237,183246184,2020-04-28 03:56:53.827,0,0,0,0,0,0,0,0,0,0
1361672,pilot02,-75.6836,-72.5098,926.3916,183263655,2020-04-28 03:57:12.870,0,0,0,0,0,0,0,0,0,0
1361673,pilot02,-74.646,-72.3877,925.9644,183282703,2020-04-28 03:57:32.053,0,0,0,0,0,0,0,0,0,0
1361674,pilot02,-74.0967,-69.6411,934.3262,183301881,2020-04-28 03:57:53.327,0,0,0,0,0,0,0,0,0,0
1361675,pilot02,-73.6084,-69.9463,929.6265,183323141,2020-04-28 03:58:12.460,0,0,0,0,0,0,0,0,0,0
1361676,pilot02,-73.9746,-70.5566,923.7061,183342289,2020-04-28 03:58:32.293,0,0,0,0,0,0,0,0,0,0
1361677,pilot02,-72.3267,-70.2515,931.2744,183362131,2020-04-28 03:58:52.370,0,0,0,0,0,0,0,0,0,0
1361678,pilot02,-71.4722,-70.3125,930.2368,183382197,2020-04-28 03:59:11.713,0,0,0,0,0,0,0,0,0,0
1361679,pilot02,-72.0825,-68.5425,933.8989,183401550,2020-04-28 03:59:31.487,0,0,0,0,0,0,0,0,0,0
1361680,pilot02,-76.1108,-73.9136,925.354,183421317,2020-04-28 03:59:50.520,0,0,0,0,0,0,0,0,0,0
1361681,pilot02,-76.1719,-73.6084,923.8281,183440330,2020-04-28 04:00:09.103,0,0,0,0,0,0,0,0,0,0
1361682,pilot02,-75.5005,-72.0215,926.6357,183458924,2020-04-28 04:00:26.747,0,0,0,0,0,0,0,0,0,0
1361683,pilot02,-73.1812,-71.4111,928.3447,183476574,2020-04-28 04:00:44.210,0,0,0,0,0,0,0,0,0,0
1361684,pilot02,-72.2656,-73.6694,926.4526,183494059,2020-04-28 04:01:05.880,0,0,0,0,0,0,0,0,0,0
1361685,pilot02,-75.4395,-74.1577,924.8657,183515724,2020-04-28 04:01:24.270,0,0,0,0,0,0,0,0,0,0
1361686,pilot02,-76.416,-58.0444,928.5278,183534098,2020-04-28 04:01:41.167,0,0,0,0,0,0,0,0,0,0
1361687,pilot02,-70.1904,-69.0308,931.2744,183550989,2020-04-28 04:02:00.107,0,0,0,0,0,0,0,0,0,0
1361688,pilot02,-77.3315,-74.4019,924.1943,183569932,2020-04-28 04:02:19.077,0,0,0,0,0,0,0,0,0,0
1361689,pilot02,-77.8198,-78.9185,910.4614,183588895,2020-04-28 04:02:35.770,0,0,0,0,0,0,0,0,0,0
1361690,pilot02,-93.811,-121.8262,925.415,183605587,2020-04-28 04:02:52.877,0,0,0,0,0,0,0,0,0,0
1361691,pilot02,-94.2383,-96.1914,748.9624,183622688,2020-04-28 04:03:09.857,0,0,0,0,0,0,0,0,0,0
1361692,pilot02,-72.3877,-91.0034,841.7358,183639679,2020-04-28 04:03:27.210,0,0,0,0,0,0,0,0,0,0
1361693,pilot02,-75.6226,-103.5156,874.0845,183657024,2020-04-28 04:03:45.703,0,0,0,0,0,0,0,0,0,0
1361694,pilot02,-51.8799,-113.4033,901.6113,183675523,2020-04-28 04:04:02.877,0,0,0,0,0,0,0,0,0,0
1361695,pilot02,-50.9033,-36.9873,947.2046,183692679,2020-04-28 04:04:20.210,0,0,0,0,0,0,0,0,0,0
1361696,pilot02,-102.0508,-70.0684,826.2329,183710019,2020-04-28 04:04:39.760,0,0,0,0,0,0,0,0,0,0
