"id","device","accX","accY","accZ","millis","created"
4849767,"pilot99",9.979033,-0.1292869,-0.3256114,649900977,"2020-08-05T00:02:57.340Z"
4849770,"pilot99",10.16099,0.1580173,-0.09337386,649900978,"2020-08-05T00:02:58.293Z"
4849773,"pilot99",10.22085,0.1556231,0.2442086,649900979,"2020-08-05T00:02:59.317Z"
4849776,"pilot99",10.04846,-0.09816227,0.3471592,649900980,"2020-08-05T00:03:00.350Z"
4849779,"pilot99",10.22085,0.1604115,0.2896984,649900981,"2020-08-05T00:03:01.367Z"
4849781,"pilot99",10.01734,0.4812346,-0.06943185,649900982,"2020-08-05T00:03:02.307Z"
4849784,"pilot99",10.13466,0.4812346,0.6991069,649900983,"2020-08-05T00:03:03.323Z"
4849788,"pilot99",10.15381,0.2106898,-0.4548983,649900984,"2020-08-05T00:03:04.340Z"
4849791,"pilot99",10.17536,0.6153098,0.344765,649900985,"2020-08-05T00:03:05.370Z"
4849794,"pilot99",9.967062,0.248997,0.08619126,649900986,"2020-08-05T00:03:06.277Z"
4849797,"pilot99",9.785102,0.1628057,-0.1580173,649900987,"2020-08-05T00:03:07.310Z"
4849800,"pilot99",10.06762,0.5363012,0.6392518,649900988,"2020-08-05T00:03:08.340Z"
4849803,"pilot99",9.885659,0.02873042,-0.2011129,649900989,"2020-08-05T00:03:09.347Z"
4849806,"pilot99",10.05086,-0.01915361,0.3591303,649900990,"2020-08-05T00:03:10.377Z"
4849809,"pilot99",10.01016,-0.1771709,-0.2154782,649900991,"2020-08-05T00:03:11.297Z"
4849812,"pilot99",10.09874,0.2226608,0.4405331,649900992,"2020-08-05T00:03:12.317Z"
4849815,"pilot99",10.02213,-0.03591302,0.7517793,649900993,"2020-08-05T00:03:13.347Z"
4849818,"pilot99",10.20648,0.1101333,-0.4812346,649900994,"2020-08-05T00:03:14.393Z"
4849822,"pilot99",10.20409,0.5363012,0.9002198,649900995,"2020-08-05T00:03:15.290Z"
4849825,"pilot99",10.04368,0.3471592,-0.05506664,649900996,"2020-08-05T00:03:16.340Z"
4849828,"pilot99",10.21366,0.1604115,0.3040636,649900997,"2020-08-05T00:03:17.343Z"
4849832,"pilot99",10.16339,0.4716577,0.03112462,649900998,"2020-08-05T00:03:18.517Z"
4849834,"pilot99",9.967062,0.5051765,0.2154782,649900999,"2020-08-05T00:03:19.280Z"
4849837,"pilot99",9.959879,0.2322376,0.9217676,649901000,"2020-08-05T00:03:20.297Z"
4849840,"pilot99",10.02692,0.272939,-0.2082956,649901001,"2020-08-05T00:03:21.330Z"
4849844,"pilot99",9.947908,0.2753332,0.6320692,649901002,"2020-08-05T00:03:22.517Z"
4849846,"pilot99",10.06522,-0.1029507,-0.02633622,649901003,"2020-08-05T00:03:23.377Z"
4849849,"pilot99",10.05565,0.2657564,-0.1460463,649901004,"2020-08-05T00:03:24.300Z"
4849852,"pilot99",10.12747,0.08379706,0.8044518,649901005,"2020-08-05T00:03:25.330Z"
4849855,"pilot99",9.89763,0.002394202,-0.07900865,649901006,"2020-08-05T00:03:26.350Z"
4849858,"pilot99",10.1155,0.533907,0.4333505,649901007,"2020-08-05T00:03:27.367Z"
4849861,"pilot99",10.04128,0.1292869,0.01915361,649901008,"2020-08-05T00:03:28.277Z"
4849864,"pilot99",10.21606,0.05985504,0.617704,649901009,"2020-08-05T00:03:29.307Z"
4849867,"pilot99",10.15141,0.4094085,-0.03830723,649901010,"2020-08-05T00:03:30.270Z"
4849870,"pilot99",10.03649,0.3423708,0.9169792,649901011,"2020-08-05T00:03:31.353Z"
