"id","device","accX","accY","accZ","millis","created"
4750627,"pilot99",10.03889,0.2825158,-0.5123591,649859675,"2020-08-04T12:34:36.210Z"
4750630,"pilot99",9.967062,0.3806781,0.3136404,649859676,"2020-08-04T12:34:37.317Z"
4750632,"pilot99",10.08917,0.007182605,0.4357447,649859677,"2020-08-04T12:34:38.313Z"
4750634,"pilot99",9.993398,0.2466028,-0.04309563,649859678,"2020-08-04T12:34:39.240Z"
4750636,"pilot99",10.13466,0.09097966,-0.02633622,649859679,"2020-08-04T12:34:40.273Z"
4750638,"pilot99",10.01734,0.6823475,0.9792285,649859680,"2020-08-04T12:34:41.210Z"
4750640,"pilot99",10.12268,0.1843535,0.4932055,649859681,"2020-08-04T12:34:42.307Z"
4750642,"pilot99",9.909601,0.3136404,0.5985504,649859682,"2020-08-04T12:34:43.330Z"
4750644,"pilot99",9.895236,0.344765,1.072602,649859683,"2020-08-04T12:34:44.257Z"
4750645,"pilot99",10.0748,0.5793968,0.9074024,649859684,"2020-08-04T12:34:45.210Z"
4750648,"pilot99",9.998186,-0.06703765,0.07422025,649859685,"2020-08-04T12:34:46.240Z"
4750650,"pilot99",9.988609,0.1651999,-0.3663129,649859686,"2020-08-04T12:34:47.327Z"
4750652,"pilot99",10.10353,0.09337386,0.9074024,649859687,"2020-08-04T12:34:48.243Z"
4750653,"pilot99",10.12029,0.1604115,-0.04070143,649859688,"2020-08-04T12:34:49.267Z"
4750656,"pilot99",9.967062,0.4620809,-0.05027823,649859689,"2020-08-04T12:34:50.220Z"
4750658,"pilot99",10.02931,0.2106898,0.07900865,649859690,"2020-08-04T12:34:51.337Z"
4750660,"pilot99",10.13705,0.4405331,0.9696517,649859691,"2020-08-04T12:34:52.337Z"
4750661,"pilot99",9.921572,0.07661445,-0.1723825,649859692,"2020-08-04T12:34:53.320Z"
4750664,"pilot99",10.11071,0.2992752,-0.06224924,649859693,"2020-08-04T12:34:54.283Z"
4750666,"pilot99",10.07241,-0.1795651,0.4309563,649859694,"2020-08-04T12:34:55.310Z"
4750668,"pilot99",10.1562,0.2298434,-0.1508347,649859695,"2020-08-04T12:34:56.367Z"
4750670,"pilot99",9.950302,-0.1292869,0.1316811,649859696,"2020-08-04T12:34:57.247Z"
4750672,"pilot99",10.04607,0.4189853,0.5770026,649859697,"2020-08-04T12:34:58.273Z"
4750674,"pilot99",10.20648,0.04070143,0.4501099,649859698,"2020-08-04T12:34:59.300Z"
4750676,"pilot99",10.1179,0.533907,0.4548983,649859699,"2020-08-04T12:35:00.323Z"
4750678,"pilot99",9.947908,0.1173159,-0.225055,649859700,"2020-08-04T12:35:01.247Z"
4750679,"pilot99",10.25916,0.3878607,0.3040636,649859701,"2020-08-04T12:35:02.270Z"
4750682,"pilot99",10.20409,-0.1532289,0.260968,649859702,"2020-08-04T12:35:03.320Z"
4750684,"pilot99",10.12268,0.1364695,0.5913678,649859703,"2020-08-04T12:35:04.313Z"
4750686,"pilot99",10.14663,0.4094085,0.06943185,649859704,"2020-08-04T12:35:05.230Z"
